title,price,category,rating,availability,description_len,has_desc,n_reviews,title_len,url
It's Only the Himalayas,45.17,Travel,2,19,1421,1,0,23,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Travel,4,15,1857,1,0,66,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Travel,3,14,940,1,0,66,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Travel,2,8,2095,1,0,67,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,37.33,Travel,3,7,1054,1,0,20,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,44.34,Travel,2,7,2035,1,0,18,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,30.54,Travel,1,6,1124,1,0,24,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),56.88,Travel,4,6,988,1,0,32,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,Travel,1,3,1136,1,0,97,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,38.95,Travel,3,3,1252,1,0,41,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",26.08,Travel,5,1,1750,1,0,34,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,47.82,Mystery,4,20,1647,1,0,13,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",19.63,Mystery,1,18,830,1,0,20,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,56.5,Mystery,4,16,1332,1,0,19,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,16.64,Mystery,1,16,1472,1,0,16,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery,4,15,1491,1,0,47,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),54.21,Mystery,2,14,1653,1,0,30,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),13.92,Mystery,1,14,1540,1,0,38,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),10.69,Mystery,1,14,1120,1,0,36,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),48.35,Mystery,5,14,1087,1,0,38,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),16.73,Mystery,2,14,853,1,0,39,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),26.8,Mystery,3,12,1807,1,0,32,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Mystery,4,12,1180,1,0,53,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,35.28,Mystery,3,12,1177,1,0,11,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),11.84,Mystery,1,12,981,1,0,26,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),59.48,Mystery,3,12,813,1,0,29,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,27.26,Mystery,2,11,1437,1,0,9,https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,13.71,Mystery,3,11,953,1,0,17,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Mystery,5,7,1541,1,0,65,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Mystery,5,7,1308,1,0,72,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Mystery,4,7,1256,1,0,48,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Mystery,4,6,266,1,0,51,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),38.38,Mystery,2,6,1369,1,0,37,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),23.05,Mystery,5,3,1335,1,0,33,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,43.45,Mystery,3,3,1354,1,0,10,https://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),19.21,Mystery,1,3,1555,1,0,41,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),25.4,Mystery,3,3,970,1,0,34,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),24.72,Mystery,2,3,1388,1,0,35,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Mystery,4,1,235,1,0,70,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,12.29,Mystery,5,1,3226,1,0,17,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),15.85,Mystery,3,1,1743,1,0,41,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),20.3,Mystery,3,1,1543,1,0,36,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),53.98,Mystery,1,1,3077,1,0,35,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,53.74,Historical Fiction,1,20,1029,1,0,18,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction,3,16,1742,1,0,73,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction,5,16,1598,1,0,39,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,36.95,Historical Fiction,1,15,1344,1,0,21,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,30.25,Historical Fiction,5,15,1669,1,0,12,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,28.08,Historical Fiction,4,14,1904,1,0,25,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
